Th1,FAR1,FRR1,Th2,FAR2,FRR2,Th3,FAR3,FRR3,Th4,FAR4,FRR4,Th5,FAR5,FRR5,Th6,FAR6,FRR6,Th7,FAR7,FRR7,Th8,FAR8,FRR8
,,,,,,,,,,,,,,,,,,,,,127,0.145732689,0.220920502
,,,,,,,,,,,,,,,,,,,,,128,0.142914654,0.226778243
,,,,,,,,,,,,,,,,,,,,,129,0.140901771,0.230962343
,,,,,,,,,,,,,,,,,,,,,130,0.138888889,0.232635983
,,,,,,,,,,,,,,,,,,,,,131,0.134460548,0.238493724
,,,,,,,,,,,,,,,,,,,,,132,0.132447665,0.242677824
,,,,,,,,,,,,,,,,,,,,,133,0.130434783,0.246861925
,,,,,,,,,,,,,,,,,,,,,134,0.127616747,0.249372385
,,,,,,,,,,,,,,,,,,,,,135,0.125201288,0.252719665
,,,,,,,,,,,,,,,,,,,,,136,0.123188406,0.256066946
,,,,,,,,,,,,,,,,,,,,,137,0.120772947,0.259414226
,,,,,,,,,,,,,,,,,,,,,138,0.116747182,0.263598326
,,,,,,,,,,,,,,,,,,,,,139,0.115136876,0.269456067
,,,,,,,,,,,,,,,,,,,,,140,0.112318841,0.275313808
,,,,,,,,,,,,,,,,,,,,,141,0.108293076,0.282008368
,,,,,,,,,,,,,,,,,,,,,142,0.10668277,0.285355649
,,,,,,,,,,,,,,,,,,,,,143,0.103462158,0.286192469
,,,,,,,,,,,,,,,,,,,,,144,0.100241546,0.292887029
,,,,,,,,,,,,,,,,,,,,,145,0.098228663,0.29958159
,,,,,,,,,,,,,,,,,,,,,146,0.095813205,0.305439331
,,,,,,,,,,,,,,,,,,,,,147,0.093397746,0.310460251
,,,,,,,,,,,,,,,,,,,,,148,0.091384863,0.318828452
,,,,,,,,,,,,,,,,,,,,,149,0.087359098,0.323849372
,,,,,,,,,,,,,,,,,,,,,150,0.085346216,0.332217573
,,,,,,,,,,,,,,,,,,,,,151,0.081320451,0.335564854
,,,,,,,,,,,,,,,,,,,,,152,0.078904992,0.343933054
,,,,,,,,,,,,,,,,,,,,,153,0.077294686,0.349790795
,,,,,,,,,,,,,,,,,,,,,154,0.074074074,0.354811715
,,,,,,,,,,,,,,,,,,,,,155,0.072061192,0.358995816
,,,,,,,,,,,,,,,,,,,,,156,0.069243156,0.366527197
,,,,,,,,,,,,,,,,,,,,,157,0.066827697,0.375732218
,,,,,,,,,,,,,,,,,,,,,158,0.064412238,0.379079498
,,,,,,,,,,,,,,,,,,,,,159,0.062801932,0.388284519
,,,,,,,,,,,,,,,,,,,,,160,0.056763285,0.39748954
,,,,,,,,,,,,,,,,,,,,,161,0.053542673,0.406694561
